DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200001;Schrankenberggasse;Wien;90001;16.3898073;48.1738011
60200002;Achengasse;Wien;90001;16.4489254;48.2844601
60200003;Ada-Christen-Gasse;Wien;90001;16.3860433;48.1528296
60200004;Adam-Betz-Gasse;Wien;90001;16.5354691;48.2155806
60200005;Adamovichgasse;Wien;90001;16.3386213;48.1426643
60200006;Adolf-Loos-Gasse;Wien;90001;16.4541985;48.2773939
60200007;Adolf-Unger-Gasse;Wien;90001;16.3858816;48.1486762
60200008;Afritschgasse;Wien;90001;16.4516922;48.2470978
60200009;Agavenweg;Wien;90001;16.5064805;48.2510997
60200010;Neustift, Agnesgasse;Wien;90001;16.3075665;48.2504477
60200011;Aignerstraße;Wien;90001;16.3749491;48.2462843
60200012;Auf der Schmelz;Wien;90001;16.3166215;48.2036497
60200013;Morzinplatz;Wien;90001;16.374491;48.2131144
60200014;Alaudagasse;Wien;90001;16.3823243;48.1538904
60200015;Albern;Wien;90001;16.4849299;48.1600507
60200016;Alberner Hafen;Wien;90001;16.4945508;48.1583969
60200017;Alberner Hafenzufahrtsstr.;Wien;90001;16.4724792;48.1720937
60200018;Alberner Straße;Wien;90001;16.4845346;48.1563654
60200019;Albertgasse;Wien;90001;16.3440381;48.2106062
60200020;Albertinaplatz;Wien;90001;16.3685352;48.2049608
60200021;Carminweg;Wien;90001;16.4210597;48.2531812
60200022;Algenweg;Wien;90001;16.5314806;48.2487967
60200023;Allerheiligengasse;Wien;90001;16.3863847;48.2387881
60200024;Allissen;Wien;90001;16.4306806;48.2863609
60200025;Alois-Behr-Straße;Wien;90001;16.2412169;48.2058409
60200026;Alsegger Straße;Wien;90001;16.324365;48.2316857
60200027;Alser Straße;Wien;90001;16.3419989;48.2171429
60200028;Aichholzgasse;Wien;90001;16.324347;48.1803244
60200029;Nußdorfer Straße/Alserbachstraße;Wien;90001;16.3549526;48.2247859
60200030;Altdorferstraße;Wien;90001;16.3493741;48.1686968
60200031;Alte Donau;Wien;90001;16.4242307;48.2379564
60200032;Aichholzgasse/Ratschkygasse;Wien;90001;16.3236104;48.177599
60200033;Altes Landgut;Wien;90001;16.3834292;48.1616626
60200034;Althanstraße;Wien;90001;16.359552;48.2288373
60200035;Breitenfurter Straße/Altmannsdorfer Straße;Wien;90001;16.3166125;48.1655993
60200036;Pfeiffenbergergasse;Wien;90001;16.2610068;48.1946622
60200037;Am Fasangarten;Wien;90001;16.3045931;48.171255
60200038;Zanggasse;Wien;90001;16.4844448;48.2388
60200039;Am Heidjöchl;Wien;90001;16.4878943;48.2370829
60200040;Am Himmelreich;Wien;90001;16.4378941;48.1639635
60200041;Am Hundsturm;Wien;90001;16.3481704;48.1876795
60200042;Am Kanal;Wien;90001;16.4101002;48.1700208
60200043;Am Kanal/Hasenleitengasse;Wien;90001;16.4184276;48.1636759
60200044;Am Modenapark;Wien;90001;16.3826208;48.1990992
60200045;Am Platz;Wien;90001;16.3014849;48.1860564
60200046;Am Rosenhügel;Wien;90001;16.2908938;48.1618783
60200047;Reichsbrücke;Wien;90001;16.4124179;48.2298367
60200048;Am Schöpfwerk;Wien;90001;16.3246076;48.1612312
60200049;Am Spiegeln;Wien;90001;16.2821981;48.1522782
60200050;Am Spitz;Wien;90001;16.3973801;48.2582053
60200051;Am Tabor;Wien;90001;16.3834742;48.2251031
60200052;Fünfhausgasse;Wien;90001;16.3354412;48.1890869
60200053;Gesundheitszentrum Süd;Wien;90001;16.3451341;48.169907
60200054;Ameisbachzeile;Wien;90001;16.2921604;48.2013266
60200055;Ameisgasse;Wien;90001;16.2995176;48.1938538
60200056;Neubaugasse;Wien;90001;16.3502006;48.1982909
60200057;Ammerweg;Wien;90001;16.2604768;48.2185136
60200058;Amongasse;Wien;90001;16.4694519;48.2301838
60200059;An den Steinfeldern;Wien;90001;16.2981162;48.1373112
60200060;An den alten Schanzen;Wien;90001;16.4898437;48.2263838
60200061;An den langen Lüssen;Wien;90001;16.3419091;48.2526549
60200062;An der Bien;Wien;90001;16.4802946;48.2069425
60200063;An der Niederhaid;Wien;90001;16.2697385;48.2041346
